step,step6
CA,0.000793287
CO,0.410284805
DE,0.000569097
GA,0.035353026
IL,0.000206945
IN,0.002466089
IA,3.45E-05
KY,0.005190859
LA,0.015779522
MD,0.044820739
MA,0.005415049
MN,0.003587039
NE,0.028454875
NJ,0.013140979
OH,0.032059159
PA,0.001552084
SC,0.000155208
TX,0.001396876
VT,0.000172454
VA,0.009398731
