from,to,step1,step2,step3,step4,step5
AL,FL,87.606,87.606,124.1085,146.01,204.414
AL,GA,106.268,106.268,185.969,265.67,371.938
AL,MS,49.45275,49.45275,87.916,109.895,153.853
AL,TN,77.004,77.004,102.672,128.34,179.676
AZ,CA,125.9034,125.9034,167.8712,209.839,293.7746
AZ,NV,3.069,3.069,4.092,5.115,7.161
AZ,AZ-MX_NW,6.4232,6.4232,25.6928,32.116,44.9624
AR,LA,85.653,85.653,114.204,142.755,199.857
AR,MS,136.89135,136.89135,212.9421,304.203,425.8842
AR,MO,51.3546,51.3546,68.4728,85.591,119.8274
AR,OK,0.248,0.248,0.434,0.62,0.868
AR,TX,18.755,18.755,26.257,37.51,52.514
CA,AZ,10.7725,10.7725,15.0815,21.545,30.163
CA,NV,4.0176,4.0176,4.5198,5.022,7.0308
CA,CA-MX_NW,11.47,11.47,22.94,28.675,40.145
CO,KS,28.2534,28.2534,37.6712,47.089,65.9246
CO,NE,2.7528,2.7528,4.8174,6.882,9.6348
CO,NM,37.0512,37.0512,49.4016,61.752,86.4528
CO,OK,9.5604,9.5604,12.7472,15.934,22.3076
CO,UT,10.4718,10.4718,15.7077,17.453,24.4342
CO,WY,58.466,58.466,102.3155,146.165,204.631
CT,MA,0.992,0.992,1.984,2.48,3.472
CT,NY,19.4215,19.4215,24.9705,27.745,38.843
CT,RI,28.3216,28.3216,31.8618,35.402,49.5628
DE,MD,0.2728,0.2728,0.4774,0.682,0.9548
DE,NJ,2.1855,2.1855,3.0597,4.371,6.1194
GA,AL,31.62,31.62,42.16,52.7,73.78
GA,FL,28.9509,28.9509,39.4785,52.638,73.6932
GA,SC,90.0798,90.0798,120.1064,150.133,210.1862
GA,TN,2.3405,2.3405,3.7448,4.681,6.5534
ID,NV,2.449,2.449,3.9184,4.898,6.8572
ID,OR,6.6495,6.6495,10.6392,13.299,18.6186
ID,UT,4.619,4.619,7.3904,9.238,12.9332
ID,WA,47.6346,47.6346,63.5128,79.391,111.1474
IL,IN,178.4484,178.4484,237.9312,297.414,416.3796
IL,IA,1.6275,1.6275,1.97625,2.325,3.255
IL,KY,13.95,13.95,18.6,23.25,27.9
IL,MO,69.75,69.75,104.625,116.25,162.75
IL,WI,33.0894,33.0894,66.1788,110.298,154.4172
IN,IL,77.934,77.934,109.1076,155.868,218.2152
IN,KY,39.8412,39.8412,59.7618,66.402,92.9628
IN,MI,67.1274,67.1274,100.6911,111.879,156.6306
IN,OH,120.96975,120.96975,175.956,219.945,307.923
IA,IL,147.3864,147.3864,165.8097,184.233,257.9262
IA,MN,29.915,29.915,47.864,59.83,83.762
IA,SD,1.1656,1.1656,2.0398,2.914,4.0796
KS,CO,7.161,7.161,10.7415,11.935,16.709
KS,MO,113.38405,113.38405,139.5496,174.437,244.2118
KS,NE,44.7888,44.7888,67.1832,111.972,156.7608
KS,OK,10.9988,10.9988,16.4982,27.497,38.4958
KY,IL,23.932,23.932,38.2912,47.864,67.0096
KY,IN,33.6102,33.6102,78.4238,112.034,156.8476
KY,OH,51.6336,51.6336,83.9046,129.084,180.7176
KY,TN,186.4278,186.4278,279.6417,310.713,434.9982
KY,VA,0.93,0.93,1.24,1.55,2.17
KY,WV,44.0665,44.0665,70.5064,88.133,123.3862
LA,AR,117.273,117.273,156.364,195.455,273.637
LA,MS,276.0736,276.0736,414.1104,690.184,966.2576
LA,TX,82.584,82.584,110.112,137.64,192.696
ME,NH,17.484,17.484,27.9744,34.968,48.9552
ME,ME-CN_E,15.4938,15.4938,20.6584,25.823,30.9876
MD,DC,1.488,1.488,1.984,2.48,3.472
MD,DE,2.5544,2.5544,4.4702,6.386,8.9404
MD,PA,40.9944,40.9944,81.9888,102.486,143.4804
MD,VA,81.9888,81.9888,109.3184,136.648,191.3072
MD,WV,0.062,0.062,0.124,0.155,0.217
MA,CT,2.0336,2.0336,4.0672,5.084,7.1176
MA,NH,2.8768,2.8768,4.3152,7.192,10.0688
MA,RI,6.944,6.944,11.1104,13.888,19.4432
MI,IN,19.4308,19.4308,31.57505,48.577,68.0078
MI,OH,1.55,1.55,2.17,3.1,4.34
MI,WI,66.9662,66.9662,86.0994,95.666,133.9324
MI,MI-CN_E,25.7858,25.7858,103.1432,128.929,180.5006
MN,IA,89.5125,89.5125,115.0875,127.875,179.025
MN,ND,2.9078,2.9078,3.7386,4.154,5.8156
MN,WI,8.9156,8.9156,17.8312,89.156,124.8184
MN,MN-CN_W,16.8392,16.8392,20.4476,24.056,33.6784
MS,AL,369.5262,369.5262,492.7016,615.877,862.2278
MS,AR,54.39105,54.39105,84.6083,120.869,169.2166
MS,LA,72.4904,72.4904,163.1034,181.226,253.7164
MS,TN,139.90455,139.90455,233.17425,310.899,435.2586
