from,to,step1,step2,step3,step4,step5
MO,AR,9.77275,9.77275,12.77975,15.035,21.049
MO,IL,109.4982,109.4982,145.9976,182.497,255.4958
MO,IA,16.864,16.864,18.972,21.08,29.512
MT,ND,59.5014,59.5014,79.3352,99.169,138.8366
MT,WY,3.41,3.41,5.115,8.525,11.935
MT,MT-CN_W,1.7577,1.7577,2.13435,2.511,3.5154
NE,CO,1.2028,1.2028,2.1049,3.007,4.2098
NE,IA,61.4172,61.4172,81.8896,102.362,143.3068
NE,KS,34.224,34.224,45.632,57.04,79.856
NE,SD,2.325,2.325,3.4875,3.875,5.425
NV,CA,40.7154,40.7154,54.2872,67.859,95.0026
NV,OR,27.9,27.9,37.2,46.5,65.1
NH,ME,6.541,6.541,10.4656,13.082,18.3148
NH,MA,5.2452,5.2452,20.9808,26.226,36.7164
NH,NH-CN_E,4.0176,4.0176,5.3568,6.696,9.3744
NJ,NY,47.4765,47.4765,126.604,158.255,221.557
NJ,PA,29.7755,29.7755,47.6408,59.551,83.3714
NM,AZ,115.9152,115.9152,154.5536,193.192,270.4688
NM,CO,4.65,4.65,6.2,7.75,10.85
NM,TX,52.0056,52.0056,69.3408,86.676,121.3464
NY,CT,43.7875,43.7875,70.06,87.575,122.605
NY,MA,21.7434,21.7434,28.9912,36.239,50.7346
NY,NJ,2.5575,2.5575,6.82,8.525,11.935
NY,PA,18.6992,18.6992,32.7236,46.748,65.4472
NY,NY-CN_E,16.74,16.74,29.295,41.85,58.59
NC,SC,31.62,31.62,42.16,52.7,63.24
NC,VA,37.634,37.634,56.451,94.085,131.719
ND,MN,46.5,46.5,52.3125,58.125,81.375
ND,MT,6.6464,6.6464,7.4772,8.308,11.6312
ND,SD,15.0598,15.0598,37.6495,75.299,105.4186
ND,ND-CN_W,0.558,0.558,0.744,0.93,1.116
OH,IN,33.852,33.852,135.408,169.26,236.964
OH,KY,65.7665,65.7665,118.3797,131.533,184.1462
OH,MI,77.686,77.686,108.7604,155.372,217.5208
OH,PA,19.9206,19.9206,46.4814,66.402,92.9628
OH,WV,30.101,30.101,135.4545,150.505,210.707
OK,AR,26.7716,26.7716,46.8503,66.929,93.7006
OK,CO,3.72,3.72,4.96,6.2,8.68
OK,KS,111.7488,111.7488,167.6232,186.248,260.7472
OK,MO,1.488,1.488,2.232,2.48,3.472
OK,TX,135.5568,135.5568,180.7424,225.928,316.2992
OR,CA,41.943,41.943,55.924,69.905,97.867
OR,ID,7.4555,7.4555,11.9288,14.911,20.8754
OR,WA,13.6865,13.6865,21.8984,27.373,38.3222
PA,DE,11.2995,11.2995,18.0792,22.599,31.6386
PA,MD,65.565,65.565,104.904,131.13,183.582
PA,NJ,165.5555,165.5555,264.8888,331.111,463.5554
PA,NY,77.159,77.159,123.4544,154.318,216.0452
PA,OH,41.385,41.385,62.0775,68.975,96.565
PA,WV,150.9576,150.9576,226.4364,251.596,352.2344
RI,CT,6.82,6.82,7.6725,8.525,11.935
RI,MA,16.8485,16.8485,26.9576,33.697,47.1758
SC,GA,35.154,35.154,46.872,58.59,82.026
SC,NC,49.6744,49.6744,86.9302,124.186,173.8604
SD,IA,0.248,0.248,0.434,0.62,0.868
SD,MN,44.175,44.175,58.9,73.625,103.075
SD,NE,2.325,2.325,3.1,3.875,4.65
SD,ND,1.1501,1.1501,1.4787,1.643,2.3002
SD,WY,1.581,1.581,2.3715,2.635,3.689
TN,AL,67.0344,67.0344,89.3792,111.724,156.4136
TN,AR,0.465,0.465,0.6975,0.775,1.085
TN,GA,3.441,3.441,5.5056,6.882,9.6348
TN,KY,234.2856,234.2856,312.3808,390.476,546.6664
TN,MS,134.0688,134.0688,178.7584,223.448,312.8272
TN,VA,0.868,0.868,1.519,2.17,3.038
TX,AR,40.6224,40.6224,54.1632,67.704,94.7856
TX,LA,172.7661,172.7661,460.7096,575.887,806.2418
TX,NM,46.7046,46.7046,93.4092,155.682,217.9548
TX,OK,84.4626,84.4626,112.6168,140.771,197.0794
TX,TX-MX_NE,149.5068,149.5068,224.2602,373.767,523.2738
UT,CO,13.4478,13.4478,20.1717,22.413,31.3782
UT,ID,10.54,10.54,16.864,21.08,29.512
UT,NV,73.377,73.377,116.18025,122.295,171.213
UT,WY,26.97,26.97,35.96,44.95,62.93
VA,DC,3.348,3.348,4.464,5.58,7.812
VA,MD,73.1848,73.1848,146.3696,182.962,256.1468
VA,NC,38.688,38.688,77.376,96.72,135.408
VA,TN,2.728,2.728,4.774,6.82,9.548
WA,ID,1.0974,1.0974,1.4632,1.829,2.5606
WA,OR,56.11,56.11,89.776,112.22,157.108
WA,WA-CN_W,0.7905,0.7905,1.2648,1.581,2.2134
WV,KY,62.434,62.434,112.3812,124.868,174.8152
WV,MD,0.0496,0.0496,0.0992,0.124,0.1736
WV,OH,147.0175,147.0175,235.228,294.035,411.649
WV,PA,85.5972,85.5972,149.7951,213.993,299.5902
WV,VA,49.4016,49.4016,65.8688,82.336,115.2704
WI,IL,6.51,6.51,13.02,21.7,30.38
WI,MI,30.4544,30.4544,68.5224,76.136,106.5904
WI,MN,41.4036,41.4036,55.2048,69.006,82.8072
WY,CO,65.162,65.162,114.0335,162.905,228.067
WY,MT,12.0776,12.0776,18.1164,30.194,42.2716
WY,NE,50.8896,50.8896,67.8528,84.816,118.7424
WY,SD,0.1674,0.1674,0.5022,0.837,1.1718
WY,UT,144.4352,144.4352,162.4896,180.544,252.7616
ME-CN_E,ME,5.1646,5.1646,23.2407,25.823,36.1522
ME-CN_E,CN_E,15.4938,15.4938,20.6584,25.823,30.9876
NH-CN_E,NH,7.4214,7.4214,9.8952,12.369,17.3166
NH-CN_E,CN_E,4.0176,4.0176,6.0264,6.696,9.3744
VT-CN_E,VT,1.5066,1.5066,2.0088,2.511,3.5154
NY-CN_E,NY,41.106,41.106,71.9355,102.765,143.871
NY-CN_E,CN_E,29.295,29.295,33.48,41.85,58.59
MI-CN_E,MI,19.1084,19.1084,76.4336,95.542,133.7588
MI-CN_E,CN_E,51.5716,51.5716,103.1432,128.929,180.5006
MN-CN_W,MN,56.0976,56.0976,74.7968,93.496,130.8944
MN-CN_W,CN_W,16.8392,16.8392,20.4476,24.056,33.6784
ND-CN_W,ND,41.7508,41.7508,53.6796,59.644,83.5016
ND-CN_W,CN_W,0.558,0.558,0.744,0.93,1.116
MT-CN_W,MT,54.8359,54.8359,66.58645,78.337,109.6718
MT-CN_W,CN_W,1.7577,1.7577,2.13435,2.511,3.5154
ID-CN_W,ID,50.9826,50.9826,76.4739,84.971,118.9594
WA-CN_W,WA,28.396,28.396,45.4336,56.792,79.5088
WA-CN_W,CN_W,0.7905,0.7905,1.2648,1.581,2.2134
TX-MX_NE,TX,11.47,11.47,17.205,28.675,40.145
TX-MX_NE,MX_NE,117.2668,117.2668,175.9002,293.167,410.4338
AZ-MX_NW,MX_NW,12.8464,12.8464,25.6928,32.116,44.9624
CA-MX_NW,CA,7.6136,7.6136,15.2272,19.034,26.6476
CA-MX_NW,MX_NW,11.47,11.47,22.94,28.675,40.145
TX-MX_SS,MX_SS,32.24,32.24,48.36,80.6,112.84
MX_NE,TX-MX_NE,11.47,11.47,17.205,28.675,40.145
MX_NE,MX_NW,8.308,8.308,12.462,20.77,29.078
MX_NE,MX_IW,32.116,32.116,40.145,80.29,112.406
MX_NE,MX_SS,10.54,10.54,15.81,26.35,36.89
MX_NW,CA-MX_NW,7.6136,7.6136,15.2272,19.034,26.6476
MX_IW,MX_CE,9.92,9.92,19.84,24.8,34.72
MX_SS,MX_NE,52.3776,52.3776,78.5664,130.944,183.3216
MX_SS,MX_IW,13.9128,13.9128,20.8692,34.782,48.6948
MX_SS,MX_CE,49.6,49.6,99.2,124,173.6
CN_E,ME-CN_E,10.3292,10.3292,20.6584,25.823,36.1522
CN_E,NH-CN_E,7.4214,7.4214,11.1321,12.369,17.3166
CN_E,VT-CN_E,1.5066,1.5066,2.2599,2.511,3.5154
CN_E,NY-CN_E,41.106,41.106,71.9355,102.765,143.871
CN_E,MI-CN_E,57.3252,57.3252,85.9878,95.542,133.7588
CN_W,MN-CN_W,18.6992,18.6992,74.7968,93.496,130.8944
CN_W,ND-CN_W,41.7508,41.7508,53.6796,59.644,83.5016
CN_W,MT-CN_W,47.0022,47.0022,62.6696,78.337,109.6718
CN_W,ID-CN_W,50.9826,50.9826,67.9768,84.971,118.9594
CN_W,WA-CN_W,28.396,28.396,45.4336,56.792,79.5088
CN_W,CN_E,53.1411145,53.1411145,85.0257832,106.282229,148.7951206
