step,step1,step2,step3,step4,step5,step6
NY,0.73270778,0.73270778,0.840812206,0.948149935,1.232594915,19.72151864
NC,0.791243736,0.791243736,0.907984615,1.023897545,1.331066808,21.29706893
ND,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
OH,0.688632044,0.688632044,0.839795176,0.947003071,1.160078762,8.120551333
OK,0.734353708,0.734353708,0.842700976,0.950279824,1.235363771,19.76582034
OR,0.899917195,0.899917195,1.032691864,1.164524867,1.513882328,24.22211724
PA,0.556190525,0.556190525,0.678281128,0.764870208,0.936966005,6.558762036
RI,0.879195382,0.879195382,1.008912734,1.137710104,1.479023135,23.66437017
SC,0.882065206,0.882065206,1.012205974,1.141423758,1.483850885,23.74161416
SD,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
TN,0.824964161,0.824964161,0.946680185,1.067532974,1.387792867,22.20468586
UT,0.867040836,0.867040836,0.994964894,1.121981689,1.458576196,23.33721913
VT,0.842351915,0.842351915,0.966633345,1.090033346,1.41704335,22.67269359
VA,0.734522521,0.734522521,0.842894696,0.950498274,1.235647757,19.7703641
WA,0.882698255,0.882698255,1.012932424,1.142242946,1.48491583,23.75865328
WV,0.581368313,0.581368313,0.708985748,0.799494567,0.979380844,6.855665908
WI,0.807449798,0.807449798,0.926581735,1.044868765,1.358329394,21.73327031
WY,0.798038465,0.798038465,0.915781845,1.032690166,1.342497215,21.47995545
MX_NE,1.168068429,1.168068429,1.340406394,1.511522104,1.964978735,31.43965975
MX_NW,0.864495978,0.864495978,0.992044565,1.118688552,1.454295118,23.26872189
MX_IW,1.709916407,1.709916407,1.962199156,2.212692665,2.876500465,46.02400743
MX_CE,1.557938157,1.557938157,1.787797885,2.016027402,2.620835623,41.93336997
MX_SS,1.129625456,1.129625456,1.296291507,1.461775529,1.900308188,30.40493101
CN_E,0.824415518,0.824415518,0.946050595,1.066823011,1.386869914,22.18991863
CN_W,0.928320006,0.928320006,1.065285253,1.201279115,1.56166285,24.9866056
TX_1,0.71460257,0.71460257,0.820035736,0.92472115,1.202137494,19.23419991
TX_2,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
TX_3,0.867631682,0.867631682,0.995642914,1.122746265,1.459570144,23.35312231
TX_4,0.842858354,0.842858354,0.967214504,1.090688697,1.417895305,22.68632489
TX_5,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_6,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_7B,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_7C,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_8,0.409253907,0.409253907,0.49909013,0.562803764,0.689434611,4.826042277
TX_8A,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
TX_9,0.617197388,0.617197388,0.708259298,0.798675378,1.038277992,16.61244787
TX_10,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
NM_E,0.426926014,0.426926014,0.52064148,0.58710635,0.719205279,5.03443695
NM_W,0.755286537,0.755286537,0.866722256,0.97736765,1.270577945,20.32924712
LA_N,0.797827449,0.797827449,0.915539695,1.032417103,1.342142234,21.47427574
LA_S,0.866661007,0.866661007,0.994529024,1.121490176,1.457937229,23.32699566
AL_N,0.856405608,0.856405608,0.982760534,1.108219326,1.440685124,23.05096198
AL_S,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
MS_N,0.833658038,0.833658038,0.956656765,1.07878316,1.402418108,22.43868973
MS_S,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
MA_ST,0.924521711,0.924521711,1.060926553,1.196363986,1.555273181,24.8843709
VA_ST,0.734522521,0.734522521,0.842894696,0.950498274,1.235647757,19.7703641
GA_ST,0.882656052,0.882656052,1.012883994,1.142188334,1.484844834,23.75751734
AL_ST,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
LA_ST,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
TX_ST,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
CA_ST,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
OR_ST,0.899917195,0.899917195,1.032691864,1.164524867,1.513882328,24.22211724
MA_FD,0.924521711,0.924521711,1.060926553,1.196363986,1.555273181,24.8843709
VA_FD,0.734522521,0.734522521,0.842894696,0.950498274,1.235647757,19.7703641
GA_FD,0.882656052,0.882656052,1.012883994,1.142188334,1.484844834,23.75751734
AL_FD,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
LA_FD,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
MS_FD,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
TX_FD,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
CA_FD,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
OR_FD,0.899917195,0.899917195,1.032691864,1.164524867,1.513882328,24.22211724
