step,step1,step2,step3,step4,step5,step6
AZ,1.03344839,1.03344839,1.185924382,1.337318984,1.738514679,27.81623486
AR,0.821326919,0.821326919,0.873752041,1.067919161,1.708670658,104.2289101
CA,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CO,0.758705003,0.758705003,0.870645086,0.981791267,1.276328647,20.42125835
CT,0.903377865,0.903377865,1.036663124,1.169003097,1.519704026,24.31526441
DC,0.791243736,0.791243736,0.907984615,1.023897545,1.331066808,21.29706893
DE,0.690335681,0.690335681,0.792188487,0.893318932,1.161314611,18.58103378
FL,0.98938816,0.98938816,1.135363462,1.280303479,1.664394522,26.63031236
GA,0.882656052,0.882656052,1.012883994,1.142188334,1.484844834,23.75751734
ID,0.858051537,0.858051537,0.984649304,1.110349215,1.44345398,23.09526368
IL,0.81403351,0.81403351,0.934136815,1.053388323,1.36940482,21.91047712
IN,0.799557783,0.799557783,0.917525325,1.034656218,1.345053083,21.52084933
IA,0.80799844,0.80799844,0.927211325,1.045578728,1.359252347,21.74803755
KS,0.732370153,0.732370153,0.840424766,0.947713034,1.232026944,19.71243111
KY,0.753767219,0.753767219,0.864978776,0.975401598,1.268022078,20.28835324
ME,1.205679997,1.205679997,1.383567209,1.56019281,2.028250653,32.45201046
MD,0.791243736,0.791243736,0.907984615,1.023897545,1.331066808,21.29706893
MA,0.924521711,0.924521711,1.060926553,1.196363986,1.555273181,24.8843709
MI,0.809897588,0.809897588,0.929390675,1.048036293,1.362447181,21.79915489
MN,0.798418295,0.798418295,0.916217715,1.033181679,1.343136182,21.49017892
MO,0.774995471,0.774995471,0.889339065,1.002871712,1.303733226,20.85973161
MT,0.905910062,0.905910062,1.039568924,1.17227985,1.523963805,24.38342088
NE,0.768074133,0.768074133,0.881396546,0.993915254,1.29208983,20.67343727
NV,0.976305142,0.976305142,1.120350163,1.263373588,1.642385664,26.27817062
NH,0.966176353,0.966176353,1.108726963,1.250266575,1.625346547,26.00554476
NJ,0.686073149,0.686073149,0.787297057,0.887803064,1.154143983,18.46630373
