producer,node,step1,step2,step3,step4,step5,step6,,producer,node,step1,step2,step3,step4,step5,step6
KY,KY,0.986040115,4.930200573,5.417802828,5.752924652,6.270687871,25.08275148,,KY,KY,0.753767219,0.753767219,0.864978776,0.975401598,1.268022078,20.28835324
LA_FD,LA,5.919229125,29.59614563,32.52323695,34.53498357,37.64313209,150.5725284,,LA_FD,LA,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
LA_N,LA,43.6012285,218.0061425,239.5671896,254.3857786,277.2804987,1109.121995,,LA_N,LA,0.797827449,0.797827449,0.915539695,1.032417103,1.342142234,21.47427574
LA_S,LA,1.515495817,7.577479087,8.326900096,8.841966081,9.637743029,38.55097211,,LA_S,LA,0.866661007,0.866661007,0.994529024,1.121490176,1.457937229,23.32699566
LA_ST,LA,0.515161249,2.575806244,2.830556312,3.00564227,3.276150074,13.1046003,,LA_ST,LA,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
MD,MD,0.000149528,0.000747642,0.000821585,0.000872404,0.000950921,0.003803683,,MD,MD,0.791243736,0.791243736,0.907984615,1.023897545,1.331066808,21.29706893
MI,MI,1.115776491,5.578882457,6.130640063,6.509854912,7.095741854,28.38296742,,MI,MI,0.809897588,0.809897588,0.929390675,1.048036293,1.362447181,21.79915489
MS_FD,MS,1.237439521,6.187197604,6.799118247,7.219682262,7.869453665,31.47781466,,MS_FD,MS,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
MS_N,MS,0.401784364,2.008921821,2.207606397,2.344159369,2.555133713,10.22053485,,MS_N,MS,0.833658038,0.833658038,0.956656765,1.07878316,1.402418108,22.43868973
MS_S,MS,0.002491841,0.012459203,0.013691432,0.014538324,0.015846773,0.063387094,,MS_S,MS,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
MT,MT,0.315198801,1.575994003,1.731861542,1.838986998,2.004495828,8.017983312,,MT,MT,0.905910062,0.905910062,1.039568924,1.17227985,1.523963805,24.38342088
MX_NE,MX_NE,0.971097939,4.855489694,5.335702961,5.665746443,6.175663623,24.70265449,,MX_NE,MX_NE,1.168068429,1.168068429,1.340406394,1.511522104,1.964978735,31.43965975
MX_SS,MX_SS,1.800232403,9.001162016,9.891386831,10.50322519,11.44851546,45.79406183,,MX_SS,MX_SS,1.129625456,1.129625456,1.296291507,1.461775529,1.900308188,30.40493101
ND,ND,0.146144683,0.730723416,0.802992765,0.852662421,0.929402039,3.717608154,,ND,ND,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
NE,NE,0.004446697,0.022233487,0.024432404,0.025943686,0.028278618,0.113114472,,NE,NE,0.768074133,0.768074133,0.881396546,0.993915254,1.29208983,20.67343727
NM_E,NM,-2.095631308,8.38252523,10.22259174,11.52760346,13.60257208,54.41028831,,NM_E,NM,0.426926014,0.426926014,0.52064148,0.58710635,0.719205279,5.03443695
NM_W,NM,8.315000953,41.57500477,45.68681842,48.51280719,52.87895984,211.5158394,,NM_W,NM,0.755286537,0.755286537,0.866722256,0.97736765,1.270577945,20.32924712
NY,NY,0.157276489,0.786382447,0.864156535,0.917609516,1.000194373,4.000777491,,NY,NY,0.73270778,0.73270778,0.840812206,0.948149935,1.232594915,19.72151864
OH,OH,-37.73705356,150.9482143,184.0831881,207.5831696,244.9481401,979.7925604,,OH,OH,0.688632044,0.688632044,0.839795176,0.947003071,1.160078762,8.120551333
OK,OK,34.14267769,170.7133885,187.5971302,199.2010764,217.1291733,868.5166931,,OK,OK,0.734353708,0.734353708,0.842700976,0.950279824,1.235363771,19.76582034
OR,OR,0.00566432,0.028321601,0.031122639,0.033047751,0.036022048,0.144088193,,OR,OR,0.899917195,0.899917195,1.032691864,1.164524867,1.513882328,24.22211724
PA,PA,-113.1367634,452.5470535,551.8866506,622.3402656,734.3615134,2937.446054,,PA,PA,0.556190525,0.556190525,0.678281128,0.764870208,0.936966005,6.558762036
SD,SD,0.005441467,0.027207334,0.029898169,0.031747541,0.034604819,0.138419278,,SD,SD,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
TN,TN,0.038907425,0.194537125,0.21377706,0.227000384,0.247430418,0.989721672,,TN,TN,0.824964161,0.824964161,0.946680185,1.067532974,1.387792867,22.20468586
TX_1,TX,7.089597693,35.44798846,38.95383348,41.36334895,45.08605035,180.3442014,,TX_1,TX,0.71460257,0.71460257,0.820035736,0.92472115,1.202137494,19.23419991
TX_10,TX,3.981227163,19.90613582,21.87487452,23.22795954,25.3184759,101.2739036,,TX_10,TX,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
TX_2,TX,7.971755146,39.85877573,43.80085245,46.51018353,50.69610005,202.7844002,,TX_2,TX,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
TX_3,TX,2.492892139,12.46446069,13.69720955,14.54445963,15.853461,63.41384398,,TX_3,TX,0.867631682,0.867631682,0.995642914,1.122746265,1.459570144,23.35312231
TX_4,TX,12.57004932,62.85024658,69.06620503,73.33834143,79.93879215,319.7551686,,TX_4,TX,0.842858354,0.842858354,0.967214504,1.090688697,1.417895305,22.68632489
TX_5,TX,8.564154324,42.82077162,47.05579299,49.9664606,54.46344205,217.8537682,,TX_5,TX,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_6,TX,20.49291657,102.4645829,112.5984427,119.5632948,130.3239914,521.2959654,,TX_6,TX,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_7B,TX,1.236069226,6.180346132,6.791589156,7.211687454,7.860739325,31.4429573,,TX_7B,TX,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_7C,TX,1.230494406,6.15247203,6.760958275,7.17916188,7.825286449,31.3011458,,TX_7C,TX,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_8,TX,-3.976360304,15.90544122,19.39687953,21.87307692,25.81023077,103.2409231,,TX_8,TX,0.409253907,0.409253907,0.49909013,0.562803764,0.689434611,4.826042277
TX_8A,TX,0.453102125,2.265510625,2.489572116,2.643566267,2.881487231,11.52594893,,TX_8A,TX,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
TX_9,TX,4.543253933,22.71626966,24.9629337,26.50703269,28.89266563,115.5706625,,TX_9,TX,0.617197388,0.617197388,0.708259298,0.798675378,1.038277992,16.61244787
TX_FD,TX,1.324767447,6.623837233,7.278942014,7.72918585,8.424812576,33.6992503,,TX_FD,TX,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_ST,TX,0.066950033,0.334750165,0.367857324,0.390611385,0.42576641,1.70306564,,TX_ST,TX,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
UT,UT,2.733123299,13.6656165,15.01716098,15.94605754,17.38120272,69.52481087,,UT,UT,0.867040836,0.867040836,0.994964894,1.121981689,1.458576196,23.33721913
VA,VA,1.498328938,7.49164469,8.232576582,8.741808123,9.528570854,38.11428342,,VA,VA,0.734522521,0.734522521,0.842894696,0.950498274,1.235647757,19.7703641
WV,WV,-37.00897047,148.0358819,180.5315633,203.5781458,240.2222121,960.8888484,,WV,WV,0.581368313,0.581368313,0.708985748,0.799494567,0.979380844,6.855665908
WY,WY,17.28312096,86.4156048,94.96220308,100.8361538,109.9114076,439.6456305,,WY,WY,0.798038465,0.798038465,0.915781845,1.032690166,1.342497215,21.47995545
