producer,node,step1,step2,step3,step4,step5,step6,,producer,node,step1,step2,step3,step4,step5,step6
AL_FD,AL,0.775314075,3.876570373,4.259967443,4.523470584,4.930582937,19.72233175,,AL_FD,AL,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
AL_N,AL,0.942670413,4.713352065,5.179507763,5.499889687,5.994879759,23.97951903,,AL_N,AL,0.856405608,0.856405608,0.982760534,1.108219326,1.440685124,23.05096198
AL_S,AL,0.045137913,0.225689564,0.24801051,0.263351367,0.28705299,1.148211958,,AL_S,AL,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
AL_ST,AL,1.336035591,6.680177956,7.340854897,7.794928396,8.496471952,33.98588781,,AL_ST,AL,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
AR,AR,11.72185188,39.07283961,40.28127794,41.09504113,42.32789237,169.3115695,,AR,AR,0.821326919,0.821326919,0.873752041,1.067919161,1.708670658,104.2289101
AZ,AZ,0.000924424,0.004622121,0.005079253,0.005393434,0.005878843,0.023515372,,AZ,AZ,1.03344839,1.03344839,1.185924382,1.337318984,1.738514679,27.81623486
CA,CA,1.347867047,6.739335233,7.405862893,7.863957505,8.57171368,34.28685472,,CA,CA,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CA_FD,CA,0.00562233,0.028111649,0.030891922,0.032802763,0.035755012,0.143020046,,CA_FD,CA,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CA_ST,CA,0.002554519,0.012772597,0.014035821,0.014904016,0.016245377,0.06498151,,CA_ST,CA,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CN_W,CN_W,118.3116596,591.5582978,650.0640635,690.2742118,752.3988908,3009.595563,,CN_W,CN_W,0.928320006,0.928320006,1.065285253,1.201279115,1.56166285,24.9866056
CO,CO,23.48483466,117.4241733,129.0375531,137.0192574,149.3509906,597.4039623,,CO,CO,0.758705003,0.758705003,0.870645086,0.981791267,1.276328647,20.42125835
FL,FL,0.006489533,0.032447665,0.035656775,0.037862348,0.04126996,0.165079839,,FL,FL,0.98938816,0.98938816,1.135363462,1.280303479,1.664394522,26.63031236
IL,IL,0.031073163,0.155365814,0.170731664,0.181292385,0.1976087,0.790434798,,IL,IL,0.81403351,0.81403351,0.934136815,1.053388323,1.36940482,21.91047712
IN,IN,0.070857094,0.354285468,0.38932469,0.41340663,0.450613226,1.802452905,,IN,IN,0.799557783,0.799557783,0.917525325,1.034656218,1.345053083,21.52084933
KS,KS,2.031991365,10.15995682,11.16478772,11.85539315,12.92237853,51.68951412,,KS,KS,0.732370153,0.732370153,0.840424766,0.947713034,1.232026944,19.71243111
