,AL,AZ,AR,CA,CO,CT,DC,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,ME-CN_E,NH-CN_E,VT-CN_E,NY-CN_E,MI-CN_E,MN-CN_W,ND-CN_W,MT-CN_W,ID-CN_W,WA-CN_W,TX-MX_NE,AZ-MX_NW,CA-MX_NW,MX_NE,MX_NW,MX_IW,MX_CE,MX_SS,CN_E,CN_W,TX-MX_SS
AL,,,,,,,,,148.428,265.67,,,,,,,,,,,,,109.895,,,,,,,,,,,,,,,,,,128.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,209.839,,,,,,,,,,,,,,,,,,,,,,,5.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.116,,,,,,,,,
AR,,,,,,,,,,,,,,,,,147.87,,,,,,304.203,85.591,,,,,,,,,,,0.62,,,,,,,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,21.545,,,,,,,,,,,,,,,,,,,,,,,,,5.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.675,,,,,,,,
CO,,,,,,,,,,,,,,,47.089,,,,,,,,,,,6.882,,,,61.752,,,,,15.934,,,,,,,,17.453,,,,,,146.165,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,27.745,,,,,,,38.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,0.682,,,,,,,,,,4.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,52.7,,,,,,,,52.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.133,,4.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,4.898,,,,,,,,,13.299,,,,,,,9.238,,,79.391,,,0.062,,,,,,,,,,,,,,,,,,,,,
IL,,,,,,,,,,,,,297.414,2.325,,23.25,,,,,,,,116.25,,,,,,,,,,,,,,,,,,,,,,,,110.298,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,155.868,,,,71.517,,,,,111.879,,,,,,,,,,,,,225.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,,,,,,,,,,,184.233,,,,,,,,,,59.83,,,,,,,,,,,,,,,,,,2.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,,,,,11.935,,,,,,,,,,,,,,,,,,,174.437,,111.972,,,,,,,,,27.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,,,47.864,112.034,,,,,,,,,,,,,,,,,,,,,129.084,,,,,,,315.828,,,,1.55,,88.133,,,,,,,,,,,,,,,,,,,,,,,
LA,,,195.455,,,,,,,,,,,,,,,,,,,,690.184,,,,,,,,,,,,,,,,,,,215.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.968,,,,,,,,,,,,,,,,,,,,,,25.823,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,2.48,6.8293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.486,,,,,,,,136.648,,0.155,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,7.3284,,,,,,,,,,,,,,,,,,,,,,7.192,,,,,,,,,,13.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,,,,,,,,,,,,,53.692,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,95.666,,,,,,140.709,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,127.875,,,,,,,,,,,,,,,,,,,4.154,,,,,,,,,,,,,,,89.156,,,,,,,24.056,,,,,,,,,,,,,,,
MS,615.877,,125.984,,,,,,,,,,,,,,181.226,,,,,,,,,,,,,,,,,,,,,,,,310.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
