,AL,AZ,AR,CA,CO,CT,DC,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,ME-CN_E,NH-CN_E,VT-CN_E,NY-CN_E,MI-CN_E,MN-CN_W,ND-CN_W,MT-CN_W,ID-CN_W,WA-CN_W,TX-MX_NE,AZ-MX_NW,CA-MX_NW,MX_NE,MX_NW,MX_IW,MX_CE,MX_SS,CN_E,CN_W,TX-MX_SS
MO,,,15.035,,,,,,,,,182.497,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.169,,,,,,,,,,,,,,,,8.525,,,,,,,,2.511,,,,,,,,,,,,,
NE,,,,,3.007,,,,,,,,,102.362,57.04,,,,,,,,,,,,,,,,,,,,,,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,67.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,,13.082,,26.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.696,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.138,,,,,,59.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,193.192,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,,,,90.458,,,,,,,,,,,,,,36.239,,,,,,,,,8.525,,,,,,,,46.748,,,,,,,,,,,,,,,,41.85,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,94.085,,,,,,,,,,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,,,,,,,58.125,,,8.308,,,,,,,,,,,,,,,75.299,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,
OH,,,,,,,,,,,,,174.375,,,131.533,,,,,155.372,,,,,,,,,,,,,,,,66.402,,,,,,,,,,150.505,,,,,,,,,,,,,,,,,,,,,,,
OK,,,66.929,,6.2,,,,,,,,,,186.248,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,225.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,,69.905,,,,,,,14.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.373,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,22.599,,,,,,,,,,,131.13,,,,,,,,,,331.111,,154.318,,,68.975,,,,,,,,,,,,,251.596,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,8.525,,,,,,,,,,,,,,36.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,58.59,,,,,,,,,,,,,,,,,,,,,,124.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,0.62,,,,,,,,73.625,,,,3.875,,,,,,,1.643,,,,,,,,,,,,,,,,2.635,,,,,,,,,,,,,,,,,,,,,
TN,111.724,,0.775,,,,,,,6.882,,,,,,390.476,,,,,,,228.563,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,67.704,,,,,,,,,,,,,,575.887,,,,,,,,,,,,,155.682,,,,,140.771,,,,,,,,,,,,,,,,,,,,,,,,,373.767,,,,,,,,,,100
UT,,,,,22.413,,,,,,21.08,,,,,,,,,,,,,,,,122.295,,,,,,,,,,,,,,,,,,,,,,44.95,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,5.58,,,,,,,,,,,,182.962,,,,,,,,,,,,,96.72,,,,,,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,,,,,,,,,,1.829,,,,,,,,,,,,,,,,,,,,,,,,,112.22,,,,,,,,,,,,,,,,,,,,,,,1.581,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,124.868,,,0.124,,,,,,,,,,,,,,,294.035,,,213.993,,,,,,,,82.336,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,,,,,,,,,,,21.7,,,,,,,,,76.136,69.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,162.905,,,,,,,,,,,,,,,,,,,,30.194,84.816,,,,,,,,,,,,,,0.837,,,180.544,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CN_E,,,,,,,,,,,,,,,,,,25.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.823,,
NH-CN_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.696,,
VT-CN_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.511,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-CN_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85,,
MI-CN_E,,,,,,,,,,,,,,,,,,,,,95.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.709,,
MN-CN_W,,,,,,,,,,,,,,,,,,,,,,93.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.056,
ND-CN_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,
MT-CN_W,,,,,,,,,,,,,,,,,,,,,,,,,78.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.511,
ID-CN_W,,,,,,,,,,,84.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA-CN_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.792,,,,,,,,,,,,,,,,,,,,,,,1.581,
TX-MX_NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.675,,,,,,,,,,,,,,,,,,,,,293.167,,,,,,,
AZ-MX_NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.116,,,,,,
CA-MX_NW,,,,19.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.675,,,,,,
TX-MX_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,,,
MX_NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.675,,,,35.402,80.29,,26.35,,,
MX_NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.034,,,,,,,,
MX_IW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,
MX_CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.466,,,,,
MX_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.944,,34.782,124,,,,
CN_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.823,12.369,4,102.765,95.542,,,,,,,,,,,,,,,,
CN_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.496,59.644,78.337,84.971,56.792,,,,,,,,,106.282229,,
