Producer,Day,Value
AL_FD_qps,1,2.0
AL_N_qps,1,0.0
AL_S_qps,1,0.0
AL_ST_qps,1,0.0
AR_qps,1,2.0
AZ_qps,1,4.0
CA_qps,1,0.0
CA_FD_qps,1,0.0
CA_ST_qps,1,6.0
CN_W_qps,1,6.9775
CO_qps,1,2.0
FL_qps,1,2.0
IL_qps,1,5.6274999999999995
IN_qps,1,2.0
KS_qps,1,2.0
KY_qps,1,2.0
LA_FD_qps,1,0.0
LA_N_qps,1,0.0
LA_S_qps,1,2.0
LA_ST_qps,1,0.0
MD_qps,1,5.4879999999999995
MI_qps,1,6.0
MS_FD_qps,1,0.0
MS_N_qps,1,0.0
MS_S_qps,1,2.0
MT_qps,1,3.7577
MX_NE_qps,1,2.0
MX_SS_qps,1,6.0
ND_qps,1,6.1245
NE_qps,1,2.0
NM_E_qps,1,2.0
NM_W_qps,1,0.0
NY_qps,1,26.0
OH_qps,1,2.0
OK_qps,1,2.0
OR_qps,1,9.2648
PA_qps,1,2.0
SD_qps,1,2.248
TN_qps,1,4.0
TX_1_qps,1,0.0
TX_10_qps,1,0.0
TX_2_qps,1,0.0
TX_3_qps,1,0.0
TX_4_qps,1,6.0
TX_5_qps,1,0.0
TX_6_qps,1,0.0
TX_7B_qps,1,0.0
TX_7C_qps,1,0.0
TX_8_qps,1,0.0
TX_8A_qps,1,0.0
TX_9_qps,1,0.0
TX_FD_qps,1,0.0
TX_ST_qps,1,0.0
UT_qps,1,2.0
VA_qps,1,6.5120000000000005
WV_qps,1,2.0
WY_qps,1,2.0
AL_FD_qps,2,2.0
AL_N_qps,2,0.0
AL_S_qps,2,0.0
AL_ST_qps,2,0.0
AR_qps,2,2.0
AZ_qps,2,4.0
CA_qps,2,0.0
CA_FD_qps,2,0.0
CA_ST_qps,2,6.0
CN_W_qps,2,6.9775
CO_qps,2,2.0
FL_qps,2,2.0
IL_qps,2,5.6274999999999995
IN_qps,2,2.0
KS_qps,2,2.0
KY_qps,2,2.0
LA_FD_qps,2,0.0
LA_N_qps,2,0.0
LA_S_qps,2,2.0
LA_ST_qps,2,0.0
MD_qps,2,5.4879999999999995
MI_qps,2,6.0
MS_FD_qps,2,0.0
MS_N_qps,2,0.0
MS_S_qps,2,2.0
MT_qps,2,3.7577
MX_NE_qps,2,2.0
MX_SS_qps,2,6.0
ND_qps,2,6.1245
NE_qps,2,2.0
NM_E_qps,2,2.0
NM_W_qps,2,0.0
NY_qps,2,26.0
OH_qps,2,2.0
OK_qps,2,2.0
OR_qps,2,9.2648
PA_qps,2,2.0
SD_qps,2,2.248
TN_qps,2,4.0
TX_1_qps,2,0.0
TX_10_qps,2,0.0
TX_2_qps,2,0.0
TX_3_qps,2,0.0
TX_4_qps,2,6.0
TX_5_qps,2,0.0
TX_6_qps,2,0.0
TX_7B_qps,2,0.0
TX_7C_qps,2,0.0
TX_8_qps,2,0.0
TX_8A_qps,2,0.0
TX_9_qps,2,0.0
TX_FD_qps,2,0.0
TX_ST_qps,2,0.0
UT_qps,2,2.0
VA_qps,2,6.5120000000000005
WV_qps,2,2.0
WY_qps,2,2.0
